Right Pocket;;;;
time;Ax;Ay;Az;
1684403338792774700;-4.7363386154174805;0.26974165439605713;2.2430777549743652;walking
1684403338812763100;-4.562202453613281;0.47986486554145813;3.5280656814575195;walking
1684403338832789800;-3.0816168785095215;0.1907424032688141;4.010265350341797;walking
1684403338852776200;-3.0731024742126465;0.5590773820877075;1.1198487281799316;walking
1684403338872762600;-3.53583025932312;1.543250560760498;-1.8385047912597656;walking
1684403338892758500;-3.526686191558838;2.5284183025360107;-2.3157544136047363;walking
1684403338912756700;-3.16109037399292;2.9759881496429443;-0.7106771469116211;walking
1684403338932760300;-3.647322654724121;3.0496482849121094;-0.4408435821533203;walking
1684403338952764200;-3.7804698944091797;3.4839611053466797;-1.1967926025390625;walking
1684403338972755000;-3.479383945465088;3.8007493019104004;-1.0725388526916504;walking
1684403338992756700;-4.214860439300537;4.188259601593018;-0.7082371711730957;walking
1684403339012771000;-5.17366361618042;4.362293720245361;-0.6371417045593262;walking
1684403339032768300;-5.184048652648926;4.401356220245361;-0.13256502151489258;walking
1684403339052768300;-4.479501724243164;4.499756336212158;0.07353067398071289;walking
1684403339072764000;-3.8807077407836914;4.733510971069336;-0.14715814590454102;walking
1684403339092761600;-3.370703935623169;4.891796112060547;0.050882816314697266;walking
1684403339112763000;-3.5047454833984375;4.78890323638916;0.46146297454833984;walking
1684403339132764400;-3.7960405349731445;4.643187999725342;1.3905019760131836;walking
1684403339152767200;-3.1670033931732178;4.3510942459106445;3.0694146156311035;walking
1684403339172772900;-2.5296754837036133;4.20279598236084;3.9229531288146973;walking
1684403339192800300;-2.410142183303833;4.084142208099365;3.481355667114258;walking
1684403339212779000;-2.971235513687134;4.160294532775879;2.605658531188965;walking
1684403339232755200;-3.1251113414764404;4.158079147338867;2.296682357788086;walking
1684403339252766700;-3.384087085723877;4.475879669189453;1.7846450805664062;walking
1684403339272784400;-3.3033275604248047;4.945595741271973;0.5748481750488281;walking
1684403339292745500;-3.2878408432006836;4.957380294799805;1.3421120643615723;walking
1684403339312748000;-3.5913116931915283;4.2903876304626465;2.97658634185791;walking
1684403339332774400;-3.1047427654266357;3.5592446327209473;3.6663193702697754;walking
1684403339352743200;-2.5020461082458496;3.1917991638183594;3.3391170501708984;walking
1684403339372775400;-2.7823638916015625;2.902186870574951;2.355307102203369;walking
1684403339392754000;-3.614100456237793;2.565159320831299;1.4606218338012695;walking
1684403339412776400;-3.47695255279541;2.6477057933807373;1.2293949127197266;walking
1684403339432826600;-2.4522452354431152;2.469130754470825;1.416466236114502;walking
1684403339452790000;-2.3375983238220215;2.250074863433838;1.172957420349121;walking
1684403339472761300;-2.86289381980896;2.310741901397705;0.20122909545898438;walking
1684403339492768800;-2.7694051265716553;2.489504814147949;-0.6893768310546875;walking
1684403339512746000;-2.2482547760009766;2.586139678955078;-0.6385025978088379;walking
1684403339532779000;-1.9091613292694092;2.49247407913208;-0.40335607528686523;walking
1684403339552757800;-1.6660897731781006;2.370372772216797;-1.0997047424316406;walking
1684403339572756200;-1.7918176651000977;2.4808311462402344;-1.015334129333496;walking
1684403339592773600;-2.282750129699707;2.610599994659424;-0.49688053131103516;walking
1684403339612781000;-2.5427193641662598;2.54732084274292;-0.3521761894226074;walking
1684403339632830700;-2.314357280731201;2.3936030864715576;-0.7649140357971191;walking
1684403339652907300;-2.2199912071228027;2.454988479614258;-1.2259607315063477;walking
1684403339672758500;-2.4397566318511963;2.6061344146728516;-1.6282243728637695;walking
1684403339692766700;-2.834378480911255;3.047821521759033;-1.4825620651245117;walking
1684403339712801500;-2.4179515838623047;3.361159324645996;-1.064420223236084;walking
