Participant,Activity,Mean,Std,Skewness,Max,Min,Max-Min,Max PSD,Max Frequency,Frequency Centroid,Frequency Bandwidth,Frequency Skewness,Spectral Entropy
Participant 7,walking,11.307142105812158,4.234380197870419,0.9401558556944349,26.92819229432232,4.100660965759056,22.82753132856326,931.98544,0.0390625,0.10169035079141196,0.07856243161432865,1.8561210816231777,-35162.473701095805
Participant 7,walking,11.308371363607957,4.417047870956633,1.099072988248639,28.3532250370218,4.3442304997433085,24.008994537278493,886.052328,0.0390625,0.10313981249667216,0.07372376330712768,1.5681872572418472,-36581.36301459483
Participant 7,walking,11.287526469495836,4.198049061543193,0.9594434260477384,27.252326502704314,4.65741706421059,22.594909438493723,761.749111,0.0390625,0.10366843491308349,0.07724988232646511,1.665733472880168,-35320.17600547244
Participant 7,walking,11.254389864058895,4.274228277754724,1.1505897926482973,27.626150962448605,4.255673666577361,23.370477295871243,746.915503,0.0390625,0.09765844612991986,0.07300724792803254,1.8296962478198295,-34820.0951371583
Participant 7,walking,11.257388307168496,3.975894888393268,0.9751074857095018,27.068796146301,3.2032184580512144,23.865577688249786,647.59857,0.0390625,0.09298520481728656,0.06870484874482322,1.846360303876236,-30058.744204856343
Participant 7,walking,11.20246640842015,4.232615265504305,0.9481059110787114,26.593251881069378,3.5630871698570608,23.03016471121232,777.97589,0.0390625,0.09419416002036245,0.0714473763168391,1.836160607821303,-33665.05677972103
Participant 7,walking,11.169005552540028,3.9097523144355493,0.9431168649444108,26.50619526620145,4.524952394490355,21.981242871711093,677.536159,0.03515625,0.09363008729227006,0.07075496396313675,1.8816689485607472,-28508.143040582803
Participant 7,walking,11.138420873311674,4.036928689704356,0.9722381172642176,26.946242377927206,3.9097707506195296,23.036471627307677,743.68605,0.03515625,0.0938479154717691,0.07243577680854985,1.8625387711094499,-29785.317490676116
Participant 7,walking,11.103219956797766,3.841114583711084,1.1198761948438687,27.242548797790562,4.445695273508971,22.79685352428159,707.662387,0.03515625,0.09558361605532878,0.0725385348623989,1.8435804301406205,-25554.333491151327
Participant 7,standing,9.841028166632638,0.046246610787833244,0.665167112941195,10.192985287152139,9.631557696779893,0.5614275903722454,0.01904972,0.02734375,0.1896527512856347,0.1280149025468382,0.577915946079031,4.230503928172755
Participant 7,standing,9.828454982080835,0.03765766897104137,-0.12278377890788723,9.970701264023509,9.649565706579752,0.3211355574437569,0.01383413,0.22265625,0.23007153792937063,0.12735026314269138,0.3162589529394167,3.1883546175593698
Participant 7,standing,9.828324256884665,0.03417719587274456,-0.1982656954393288,9.951418106903157,9.684268783217451,0.26714932368570565,0.00822676,0.11328125,0.22261417808511358,0.1370529150206992,0.29090615538218617,2.505338214399655
Participant 7,standing,9.828413349329226,0.034733605054639495,0.0499289228356556,9.982964520121266,9.704118237248556,0.27884628287270985,0.00572984,0.12890625,0.2269975316683436,0.13486530055599985,0.19309038630465103,2.5815116166314027
Participant 7,standing,9.831164768457269,0.036111407939120904,0.001539407323245229,9.983082778400668,9.689362018234224,0.293720760166444,0.00707089,0.203125,0.22254214946508055,0.13422003208911706,0.2542158793635656,2.8627085866383224
Participant 7,standing,9.831003098718885,0.03700850644460227,0.28825435183232745,10.006053482087731,9.697380269660462,0.3086732124272693,0.00823859,0.18359375,0.2275586840361103,0.14078779399694255,0.2619707889689305,3.0059192383930404
Participant 7,standing,9.835998807124264,0.034151167170456825,-0.08484475950274291,9.989713815525448,9.671722657939483,0.31799115758596486,0.00593066717,0.1875,0.23797376534386724,0.13397292425595023,0.20225306876405455,2.449395901560736
Participant 7,standing,9.831581564877899,0.04753311016955071,-0.11742946063816619,10.010825349215718,9.61315376931525,0.397671579900468,0.02825791,0.2421875,0.22056088266326607,0.12314701227329042,0.2931435256682912,4.44254128626486
Participant 7,standing,9.828562995584305,0.037896897299064536,0.03875853508218929,9.987299101603996,9.695244108370867,0.2920549932331298,0.00899972,0.22265625,0.2204140322423617,0.1298153091561386,0.3856683454436395,3.0196494704697696
Participant 7,jogging,14.831813492293193,5.758382568968103,0.1465329548311845,29.822101518840018,1.4320402091072724,28.390061309732747,1874.79426,0.05859375,0.1260492717522857,0.10601493083420281,1.424657629747729,-66298.14068463707
Participant 7,jogging,15.444791428758533,5.747323483492151,0.08971089427912658,28.97014810110573,2.2858017018105485,26.68434639929518,1960.33482,0.05859375,0.13803486726041594,0.1106824665082795,1.2204179366842325,-69093.04657458297
Participant 7,jogging,14.526855206131968,5.5071114996364825,0.09789195471727173,29.84975968077465,1.8786286824170442,27.971130998357605,1312.8968,0.05859375,0.13296137764076982,0.10430290998118064,1.1918537794301087,-62222.99486706672
Participant 7,jogging,14.899106388187018,5.5149628238554085,0.13117872667506106,32.04801627246217,1.4218761642984243,30.626140108163746,1479.89589608,0.05859375,0.14238980203510201,0.10522233787473491,1.0326079350589275,-65590.2257427461
Participant 7,jogging,14.67819699752163,5.230645944592636,0.13781221743825892,29.508251337549638,2.3648709136229824,27.143380423926654,1382.5140033,0.05859375,0.13603996382550798,0.11263042975150492,1.2854350888072064,-52445.40096239806
Participant 7,jogging,15.118930255237146,5.427035761333791,0.15237256089044118,29.562811249947124,2.2612664817088675,27.30154476823826,1485.36835,0.05859375,0.1470539458844704,0.11315149069470572,0.988272879994744,-60694.30018707104
Participant 7,jogging,14.479392856278006,5.194646499071375,0.0370829229800064,28.216305534211955,2.271326892831589,25.944978641380366,1479.61212965,0.05859375,0.13123600343149133,0.10431148887538788,1.2631893903529297,-56017.65834459354
Participant 7,jogging,14.632072071419115,5.163421826698498,0.03221420814157953,27.444615464604347,2.24349265512504,25.20112280947931,1335.62963824,0.05859375,0.1300289360694438,0.10299455509933964,1.288507735181877,-55581.90588192528
Participant 7,jogging,14.788637792301989,4.94792198646767,-0.08396630586368188,26.432314503274206,2.0018862437461324,24.430428259528075,1285.94708937,0.05859375,0.12138017856815693,0.09836017074807833,1.5223406626355027,-51536.92567862639
Participant 7,sitting,9.97860990534031,0.06312265388643208,-0.24045087374208077,10.306792749444416,9.53752136668642,0.7692713827579958,0.04405146,0.19921875,0.17591606034425308,0.10866267332349862,0.943750092754686,7.8436862669593745
Participant 7,sitting,9.97867372200886,0.04856112254143788,-0.2557817170615945,10.285780502227334,9.697022199623966,0.5887583026033685,0.02338839,0.1875,0.18603924589009138,0.1191302602715341,0.8184676372367742,5.0140934619308855
Participant 7,sitting,9.970352093642324,0.06980110433416202,0.7440284353422559,10.44277864842495,9.491382136443564,0.9513965119813861,0.04286594,0.21875,0.20171603219047907,0.12475982058712504,0.3609167652574267,7.154172325665658
Participant 7,sitting,9.97284739764258,0.037980391042375966,0.2160412165135371,10.176685213761896,9.843962604561234,0.3327226092006619,0.01261878,0.05078125,0.20327381715631856,0.14222129572548212,0.4289377096098909,3.1644316766208105
Participant 7,sitting,9.974693078703437,0.03647077642837241,-0.06850142757389892,10.091965660861119,9.83857941371619,0.2533862471449293,0.00561714,0.0390625,0.23696995001491306,0.13460807986418716,0.16523287951684032,2.8656630361704707
Participant 7,sitting,9.973362515741796,0.03712952663616818,-0.18087596976976977,10.119532358266364,9.823121912101062,0.2964104461653019,0.00807394,0.08203125,0.21595676757605667,0.13745244260202483,0.2816618717358607,2.8928098264311224
Participant 7,sitting,9.985997362097784,0.11035095522656799,4.357965515325921,11.580716453656915,9.383072928417429,2.197643525239487,0.16480454,0.1875,0.16906566276067664,0.10260836487666869,0.7239400731611915,16.803634301539105
Participant 7,sitting,9.998831026062783,0.0373063780085622,0.04443943312629132,10.189900940146572,9.85246740923308,0.3374335309134917,0.00738723,0.19921875,0.2273947639553494,0.13928494321840584,0.26036557558997514,3.0198519409909155
Participant 7,sitting,9.997308792628615,0.03620147562501689,-0.04830954534482556,10.10984881439876,9.868018952657113,0.2418298617416461,0.00609869,0.17578125,0.23467819584974475,0.13809669828383114,0.11781524258095949,2.8368366032157297
Participant 7,biking,10.108640356996391,1.183494898072532,0.0897183659326314,14.538573419011923,5.949062579095971,8.589510839915953,45.64953817,0.01171875,0.12141570167594853,0.10785745464473817,0.8841267661400145,-921.3189885440879
Participant 7,biking,10.196403571844435,2.021445763339951,0.7517345252756312,23.089469742720382,3.2334240761768323,19.85604566654355,89.78246459,0.01171875,0.11750008890560795,0.09499037903036747,1.1635760920452978,-3912.413626434839
Participant 7,biking,10.198694646958147,2.170311831379675,-0.07542165648543969,19.204407828412727,1.9467633181678763,17.25764451024485,153.93815938,0.015625,0.08648125370139957,0.08432027912444001,1.6275949309364082,-6378.594504114511
Participant 7,biking,10.332395585009747,2.693699421513824,0.6261945768549863,24.287710301508458,0.9216647233245937,23.366045578183865,309.653288,0.015625,0.08522310708054841,0.08580476145442825,1.459798321764874,-8442.628566276699
Participant 7,biking,10.179477988743866,1.9323402904720963,0.05818155489949115,19.838863029165758,5.292549221311031,14.546313807854727,260.087749,0.015625,0.07150079151565246,0.08528374024369725,1.840260429799786,-5154.4909059195825
Participant 7,biking,10.38428579888827,2.8408193012916034,0.8247102203774621,24.09121393807294,2.4710592735909835,21.620154664481955,64.00678851,0.08203125,0.16549828785734855,0.09700199725605355,0.7838653770688944,-9924.400779532825
Participant 7,biking,10.210193755479867,1.7967654116375387,0.17684323116394687,17.74618119061112,4.892802756089806,12.853378434521314,139.452195,0.01171875,0.083731536951101,0.08849036101770594,1.606476182733542,-3702.1857841620654
Participant 7,biking,10.17757028517141,2.2160860331298777,0.36179788709082383,27.02977394948023,1.818670012234215,25.211103937246016,301.689569,0.015625,0.0817496809594477,0.07858244344031716,1.6395591013161126,-7428.45940740259
Participant 7,biking,10.165475546393594,1.6965046508427457,-0.16622437309215246,19.318949554517708,4.893960685211928,14.42498886930578,163.506992,0.015625,0.058740725375157204,0.07845693898941779,2.2860199912607366,-3130.484210919886
Participant 7,upstairs,10.56885707209702,3.4133574905745285,0.6630619213850328,25.58875363299276,3.500559722387264,22.088193910605494,506.092135,0.03125,0.08679584679447322,0.08877598403672478,1.8581588833609517,-19883.183458327167
Participant 7,upstairs,10.574704120233282,3.298219986724668,0.7304701887269074,25.37086795302833,3.7778735844387383,21.592994368589594,559.680927,0.03125,0.08382125792874817,0.08468255437017869,1.9605345366852953,-17553.965162862965
Participant 7,upstairs,10.526071499214256,3.50214347053908,0.5764073365288632,24.372780411762626,2.7222361304633367,21.65054428129929,648.338701,0.03125,0.08746530277055489,0.08422373869282233,1.7545951969258913,-20856.397784461566
Participant 7,upstairs,10.667215089484555,3.638926425160533,0.467019985876091,25.35794682486932,1.5268117050900547,23.831135119779265,632.494795,0.03515625,0.08194505907280099,0.08317586377996974,1.9901211548719127,-22830.424269780167
Participant 7,upstairs,10.524126703014998,3.300310830830901,0.5588086139767092,23.578825546663683,2.748064256890657,20.830761289773026,532.205138,0.03125,0.0829715982418713,0.08217622115532282,1.8190699383611646,-16884.683894177546
Participant 7,upstairs,10.634695166000249,3.5191699272086487,0.6003898853238907,25.192784927633546,3.101777891790449,22.0910070358431,640.284022,0.03125,0.08739037922208724,0.0828858209348051,1.7096341858386075,-20674.08101399951
Participant 7,upstairs,10.562616919893006,3.4022895683557564,0.611126220149485,24.61070491391906,2.7941772778404736,21.81652763607859,686.796811,0.03125,0.08649582093531934,0.08692390844049505,1.8323656894945728,-19391.815458553177
Participant 7,upstairs,10.507109769425778,3.241268507045024,0.7781166861315955,24.26679554123288,3.4112642000437314,20.85553134118915,574.6827,0.03125,0.0834910086737471,0.07951432193262914,1.8374940103143607,-17469.709736290326
Participant 7,upstairs,10.571558700116467,3.4231778148427336,0.6077344890874445,25.376238322543,2.8126025784671396,22.56363574407586,587.00668,0.03125,0.08142081117784705,0.08157458345262103,1.960528422109883,-18130.12400725853
Participant 7,downstairs,10.739115174561952,3.9692075073351623,0.6516680824811676,26.288296255938686,2.6408608052110587,23.647435450727627,909.099147,0.0390625,0.07778907553199518,0.07564827284643406,2.5615019960046594,-28906.133282719933
Participant 7,downstairs,10.719601138989349,3.8481555957304785,0.7971037340994241,26.003552538259076,3.5384202183460345,22.465132319913042,1047.96134,0.03515625,0.07880326512470318,0.07651373087559567,2.296521765318214,-25414.472923305326
Participant 7,downstairs,10.665791257060533,3.7752279439086363,0.7621941795571356,26.592503867819595,2.9115609013723205,23.680942966447276,1056.30986,0.03515625,0.08065117904172275,0.0761068750477714,2.2205769263617565,-28617.013080145276
Participant 7,downstairs,10.760306317049798,3.9822426864416838,0.7769795027166543,25.77067949220586,3.152035190301657,22.618644301904204,1012.26998,0.03515625,0.07869116734024624,0.07393589385396104,2.3185694727028827,-30613.830256653662
Participant 7,downstairs,10.79503454366172,3.9331702099273422,0.7451662022107995,24.67445554191622,3.027752699214386,21.646702842701835,1134.95959,0.03515625,0.08152859691769143,0.07759518624809189,2.193333791002175,-29915.124435031987
Participant 7,downstairs,10.74631808980832,3.7531889696512657,0.6478079056916026,23.833484986911188,3.364704975179845,20.468780011731344,1113.35141,0.03515625,0.07982720347930237,0.07674419670777342,2.2143798177078,-27257.458282601787
Participant 7,downstairs,10.783281386003539,3.8321968081668034,0.7736903369117741,27.416884286876947,2.6664691766454007,24.750415110231547,896.533549,0.03515625,0.07826888646032391,0.07732198093927292,2.3457670105100736,-28093.71780168891
